date,platform,content_type,reach,likes,comments,shares,saves,engagement_rate,day_of_week,hour,month,month_num
2024-01-01,Instagram,Influencer collab,12032,737,60,54,128,7.07,Monday,12,Jan,1
2024-01-02,Twitter,Product showcase,1427,62,4,2,6,4.77,Tuesday,12,Jan,1
2024-01-02,Instagram,Product showcase,3996,162,13,9,12,4.6,Tuesday,9,Jan,1
2024-01-02,TikTok,Campaign launch,92608,2792,128,69,512,3.23,Tuesday,18,Jan,1
2024-01-04,TikTok,Influencer collab,23623,1789,158,58,275,8.49,Thursday,13,Jan,1
2024-01-04,Twitter,Campaign launch,4254,277,23,11,37,7.31,Thursday,11,Jan,1
2024-01-05,TikTok,Campaign launch,31077,1159,88,83,214,4.28,Friday,14,Jan,1
2024-01-05,Instagram,Campaign launch,4766,266,19,5,16,6.08,Friday,17,Jan,1
2024-01-06,Instagram,Campaign launch,29162,1847,173,61,317,7.14,Saturday,12,Jan,1
2024-01-09,Instagram,Behind the scenes,5301,273,19,14,33,5.77,Tuesday,12,Jan,1
2024-01-09,TikTok,Brand story,66215,2463,254,122,366,4.29,Tuesday,13,Jan,1
2024-01-10,TikTok,Product showcase,30004,968,69,44,131,3.6,Wednesday,8,Jan,1
2024-01-13,Twitter,Influencer collab,4415,440,49,21,28,11.55,Saturday,14,Jan,1
2024-01-13,TikTok,Campaign launch,17826,613,56,42,67,3.99,Saturday,10,Jan,1
2024-01-14,Twitter,Brand story,3539,217,20,6,24,6.87,Sunday,16,Jan,1
2024-01-15,Twitter,Behind the scenes,3088,125,13,7,6,4.7,Monday,13,Jan,1
2024-01-15,TikTok,Brand story,34418,975,40,64,137,3.13,Monday,9,Jan,1
2024-01-16,Instagram,Product showcase,7598,178,19,11,24,2.74,Tuesday,11,Jan,1
2024-01-17,Twitter,Product showcase,2599,10,1,0,1,0.42,Wednesday,13,Jan,1
2024-01-18,Twitter,Influencer collab,3092,183,10,9,24,6.53,Thursday,10,Jan,1
2024-01-20,Instagram,Brand story,5488,218,10,11,15,4.35,Saturday,11,Jan,1
2024-01-21,TikTok,Brand story,28109,2124,173,50,290,8.35,Sunday,9,Jan,1
2024-01-21,TikTok,Product showcase,52899,467,48,31,79,1.03,Sunday,13,Jan,1
2024-01-22,TikTok,Product showcase,36471,1381,117,95,225,4.37,Monday,17,Jan,1
2024-01-22,Instagram,Behind the scenes,5941,244,15,8,27,4.49,Monday,17,Jan,1
2024-01-23,Instagram,Campaign launch,3579,148,12,7,15,4.67,Tuesday,10,Jan,1
2024-01-26,Instagram,Campaign launch,10275,598,34,26,48,6.4,Friday,11,Jan,1
2024-01-27,Twitter,Behind the scenes,3134,235,21,11,44,8.52,Saturday,17,Jan,1
2024-01-28,Instagram,Product showcase,9006,447,28,33,60,5.64,Sunday,15,Jan,1
2024-01-28,Twitter,Behind the scenes,2847,116,7,3,10,4.43,Sunday,15,Jan,1
2024-01-29,TikTok,Campaign launch,31845,1231,75,80,231,4.35,Monday,15,Jan,1
2024-02-02,Twitter,Behind the scenes,1179,45,4,3,6,4.41,Friday,11,Feb,2
2024-02-02,Instagram,Behind the scenes,5316,274,20,10,17,5.72,Friday,9,Feb,2
2024-02-04,Instagram,Campaign launch,4208,131,5,5,24,3.35,Sunday,11,Feb,2
2024-02-04,TikTok,Brand story,26778,1639,103,82,218,6.81,Sunday,17,Feb,2
2024-02-04,Twitter,Brand story,4100,193,11,13,13,5.29,Sunday,11,Feb,2
2024-02-05,Instagram,Campaign launch,4555,177,12,5,26,4.26,Monday,15,Feb,2
2024-02-05,Instagram,Brand story,5235,180,18,5,19,3.88,Monday,13,Feb,2
2024-02-06,TikTok,Campaign launch,25473,978,52,67,113,4.31,Tuesday,14,Feb,2
2024-02-06,Instagram,Product showcase,10501,445,32,23,49,4.76,Tuesday,15,Feb,2
2024-02-07,Instagram,Brand story,20687,1067,72,83,66,5.91,Wednesday,13,Feb,2
2024-02-08,TikTok,Brand story,34568,1608,98,97,186,5.22,Thursday,10,Feb,2
2024-02-08,Instagram,Brand story,3675,117,11,2,13,3.54,Thursday,10,Feb,2
2024-02-08,TikTok,Brand story,35393,1094,111,57,217,3.57,Thursday,17,Feb,2
2024-02-10,Twitter,Behind the scenes,4849,254,23,10,14,5.92,Saturday,19,Feb,2
2024-02-10,TikTok,Brand story,31294,1327,99,48,101,4.71,Saturday,11,Feb,2
2024-02-11,TikTok,Brand story,23111,875,92,25,72,4.29,Sunday,11,Feb,2
2024-02-13,Instagram,Product showcase,4193,65,2,3,4,1.67,Tuesday,13,Feb,2
2024-02-13,TikTok,Brand story,148099,8867,544,563,580,6.73,Tuesday,17,Feb,2
2024-02-14,Instagram,Behind the scenes,14256,618,56,19,32,4.86,Wednesday,10,Feb,2
2024-02-15,TikTok,Behind the scenes,9566,564,28,39,35,6.6,Thursday,11,Feb,2
2024-02-16,Twitter,Campaign launch,4190,198,19,13,21,5.49,Friday,10,Feb,2
2024-02-16,Instagram,Influencer collab,9058,441,28,28,49,5.49,Friday,11,Feb,2
2024-02-17,Twitter,Behind the scenes,1876,111,10,6,18,6.77,Saturday,15,Feb,2
2024-02-17,Instagram,Influencer collab,6793,457,41,24,61,7.68,Saturday,11,Feb,2
2024-02-18,TikTok,Brand story,16383,554,48,21,67,3.8,Sunday,12,Feb,2
